row,legacy_url,title,brand,match_method
219,/advert/canon/eos-550d---take-stories,Eos 550D - Take Stories,Canon,multiple_matches
1906,/advert/blackberry/art%2C-design-%26-style,"Art, Design & Style",Blackberry,multiple_matches
3430,/advert/blackberry/u2,U2,Blackberry,multiple_matches
3659,/advert/blackberry/playbook---power,Playbook - Power,BlackBerry,multiple_matches
3728,/advert/canon/live-for-the-story,Live For The Story,Canon,multiple_matches
4022,/advert/blackberry/bold---create-%26-connect,Bold - Create & Connect,Blackberry,multiple_matches
4603,/advert/blackberry/will-ramsay---art-pioneer,Will Ramsay - Art Pioneer,BlackBerry,multiple_matches
4958,/advert/blackberry/people-who-do,People Who Do,Blackberry,multiple_matches
5230,/advert/schweppes/space-rock,Space Rock,Schweppes,multiple_matches
5485,/advert/blackberry/something-for-everyone,Something For Everyone,Blackberry,multiple_matches
5678,/advert/blackberry/z10---keep-moving,Z10 - Keep Moving,BlackBerry,multiple_matches
5727,/advert/canon/powershot-sx210-is,Powershot SX210 IS,Canon,multiple_matches
6109,/advert/blackberry/all-you-need-is-love,All You Need Is Love,BlackBerry,multiple_matches
11832,/advert/blackberry/bold,Bold,BlackBerry,multiple_matches
12068,/advert/canon/capture-every-smile,Capture Every Smile,Canon,multiple_matches
14170,/advert/schweppes/amateurs,Amateurs,Schweppes,multiple_matches
17368,/advert/canon/eos-650d---see-things-differently,EOS 650D - See Things Differently,Canon,multiple_matches
18701,/advert/blackberry/storm,Storm,BlackBerry,multiple_matches
19257,/advert/blackberry/playbook---flash!,PlayBook - Flash!,Blackberry,multiple_matches
19304,/advert/blackberry/connect-to-everything-you-love,Connect To Everything You Love,BlackBerry,multiple_matches
19473,/advert/schweppes/straight-cut,Straight Cut,Schweppes,multiple_matches
20590,/advert/schweppes/summer-spirit---the-racing-crowd,Summer Spirit - The Racing Crowd,Schweppes,multiple_matches
20610,/advert/canon/eos-600d---your-adventure-starts-here,EOS 600D - Your Adventure Starts Here,Canon,multiple_matches
20915,/advert/schweppes/moggy,Moggy,Schweppes,multiple_matches
